emotion,essay,Unnamed: 2
sadness,cat died painfully slowly,
disgust,unwanted attention paid place work harrassment sexual harrassment another worker disgusted implications,
shame,close friend discovered deceived felt shame done knowing knew,
guilt,twotiming going person guy relationship,
joy,pleased happy older sister came home living somewhere town hadnt seen months close sisters,
fear,skiing alone mountain became covered mist thought lost going panic,
anger,parents didnt allow go social function friends attending,
sadness,still school friend died cancer ill long time yrs old,
disgust,party best girlfriend got really drunk went guy knows really like,
shame,severely reprimanded trivial offence front members peer group still school,
guilt,someone asked something made excuse said went didnt thing someone else hoped first person never found,
joy,brother new zealand years came visit wife none family previously met,
fear,give speech historical event audiece people age know,
anger,arguments close friend relative point view completely disregarded,
sadness,grandfather met weeks died several months really sad lovely person means company,
disgust,saw programme tv describing certain wild life films made disgusted treatment certain animals particular programme polar bear,
shame,nd time someone met cared came house absolutely inebriated sick bucket,
guilt,first time went away boyfriend lied staying,
joy,former boyfriend reconciled decided important always wanted us get back together doubted likelihood happy small amount faith vindicated,
fear,riding fastlydriven car lose metal road late hour cars road driver taking corners sharply felt afraid accident happened area isolated also feared driver dropped would make home safely,
anger,short notice agreed work place friend sick owner restaurant refused allow drink later evening usually always available workers thank generally indifferent towards felt deserve,
sadness,learned former boyfriend become engaged although glad found wanted sad personal loss since always hoped might one day reconcile,
disgust,reading newspaper story man committed incestuous acts twoyear old child thought anyone could thing abhorrent,
shame,dropping carton boiling soup onto coworkers leg causing great pain severe embarassment ineptitude shame another person suffered result,
guilt,sister opportunity modelling work quite jealous later photographer decided take photograph upset felt guilty result almost caused lose opportunity genuinely happy first place,
joy,solo flight ardmore kaikohe got pilot licence remember gorgeous day natural high cruising coast maps compasses gear pilots seen wished good luck real adventure,
fear,friend female holiday great barrier island one night nearly raped locals came bach tried break doors stoned drunk hid bunks totally terrified eventually guys gave went looking us beach escaped slept bush nights,
anger,cooked engine fathers car actually fault hadnt fixed temperature gauge told finally got home absolutely screamed anger experienced injustice plus huge row developed,
sadness,sounds really predictable usual absolutely heartrending time first lover rang one day announced found another woman never saw hurt positive true love,
disgust,saw old man road fossicking rubbish bins gutter really disgusted first ive seen times since feel really sorry often give cigarettes see mainly goes cigarette butts revolting,
shame,mother discovered various items room year olds arent usually expected mainly alcohol marijuana contraceptives,
joy,holiday whitesand deserted beach cool evening near end summer fire sand toasted marshmellows cuddled drank champagne,
fear,skiing icy slope fast whiteout conditions control idea heading,
anger,best friend school told lies boy seeing went,
sadness,found baby opposum road took home cared week forcefed carried fur pouch jersey father vet put sleep said carried diseases,
disgust,boyfriend split came friends house visiting male friend confrontation another room tried find aroused friend feeling parts,
shame,told primary teacher hadnt done homework mother car accident teacher rang night see mother fine ie accident,
guilt,told pesent boyfriend australian parents relationship developed found harder harder confess became sure would end relationship eventually found told front mother,
joy,winning race training many weeks running race,
fear,young moved family auckland wellington meant new school friends etc,
anger,someone ignores saying doesnt let point view monopolise conversation,
sadness,got argument someone abusive close friend later regretted,
disgust,close relative got quite drunk relative respected long time looked child,
shame,come home drunk day party felt ashamed front parents,
guilt,crashed bike old lady crossing road knocked,
joy,listening opening bars tchaikovsdys symphony fourth movement sisters wedding,
fear,passenger vehicle travelling steep side arthurs pass middle sleetstorm icy roads sheer chasms one side sheer face,
anger,sadness relating slaghter furseals,
sadness,documentary baby fur seals clubbedspiked death canadian sealhunters brutally graphic b description disfigured orphaned child hiroshima calling mother,
disgust,repression rioting nonrioting blacks south africa police democracy,
shame,breaking implicit promise,
guilt,age stole rangers fruit tree apple eventually compelled confess dostoersky would like,
joy,seeing sister years seeing spent hour overseas husband months,
fear,imagined heard footsteps hall sleeping bed one night house,
anger,stopped fast food shop friends locals wanted fight us apparent reason hit picked one friends,
sadness,father recently heart attack spending months hospital,
disgust,flatmate close friend living sleeping another close friend mine,
shame,sleeping girl saturday night contacting later days,
guilt,stealing money milk token jar close friend family visiting,
joy,talking someone admire lot,
fear,held water large wave thought drowning,
anger,came back surfing find car broken gear money stolen,
sadness,caused family disturbance,
disgust,friends calling fat pear shaped front nice girl,
shame,considered writing load crap emotion,
guilt,beating brother,
joy,best man brothers wedding year ago,
fear,mugged holiday usa,
anger,one four directors company inherited land held family th generation democratic decision made stapbank area mangroves,
sadness,social situation pub close friend years told group around us advances made,
disgust,drunk walked front car night lower legs broken shoe thrown yards accident,
shame,father died years ago months mother died feld sister responsible death hadnt loved felt ashamed family,
guilt,grandmother wanted help driving tractor pulling dead branch tree told didnt respect,
joy,hearing girlfriend accept offer marriage,
fear,canoeing across harbour winds knots rising seas,
anger,brother continually interupting talking telephone,
sadness,hearing death friend skiing,
disgust,flicking magazine showing pictures homosexual men committing various acts,
shame,caught parents compromising situation girlfriend,
guilt,describing mother hole wall appeared babysitting,
joy,found passed university exams,
fear,almost crashing back car driving along motorway motorcycle,
anger,girlfriend two years told,
sadness,person really like left overseas months hoped go soon,
disgust,deliberately avoided person wanted hurt wanted talk,
shame,passed gossip untrue cause two friends fight already experiencing difficulties,
guilt,missing lectures avoiding university work reason done,
joy,received ue accredited totally unexpecting happy,
fear,went see movie went friend really frightening made stop think world around really like frightened night,
anger,flatmate put thought better felt,
sadness,close friend mine went hospital major operation couldnt see relative relatives nz,
disgust,one good friends came advice boyfriend hitting beating quite harmfully,
shame,let girlfriend use essay help write tutor found alike,
guilt,lie boyfriend wouldnt suspect id bought xmas present expensive,
joy,received assignment back got grading,
fear,walking home one night getting bus town confronted group males would let pass made comments etc crossed road hurried home,
anger,lent textbook person know well lost textbook gave compensation,
sadness,beginning year moved new city felt sad leave many friends family members behind,
disgust,read newspaper article dogs stolen order use fighting purposes,
shame,amongst group people talking maori people stirrers causing trouble country felt shame pakeha pakehas narrow conservative views,
guilt,took fathers car church one sunday told thats going decided instead go drive beach way got puncture,
joy,getting university entrance accredited arriving home boarding school accrediting leave,
fear,thinking seen smoking school teacher waiting summoned headmasters office,
anger,mother rejected boyfriend made unfair judgements,
sadness,grandfathers funeral grandparents virtually raised mother soloparent work,
disgust,watching tv documentary seal clubbing,
shame,ate fattening food front boyfriend would like lose weight supposedly pursuing modelling career first must lose weight trying diet,
guilt,let pet budgie loose fly around room one afternoon hours afterwards found still free went room leaving door open cat got killed budgie happened budgies,
joy,birth first child,
fear,large german shepherd dog ran barked didnt bite fortunately,
anger,recently chairman new zeeland rugby union announced blacks would accept invitation south africa play rugby country,
sadness,told friends baby born partial sight first child young mother,
disgust,first saw state cafeteria grounds university due students lack concern environment eat drink rubbish spilled tea coffee left everywhere,
shame,pakeha white new zealander racially prejudiced people condemned,
guilt,husband discovered affair another man,
joy,biking boyfriend sun shining long period bad beather afterwards spent evening night together,
fear,hitchhiking picked stranger drove woods wanted make love refused escaped car walking wood hearing car afraid,
anger,discussion leader wanted stop opinion involved misjudged reactions negative however posed several questions couldnt answer,
sadness,grandmother died stayed us age died remember moment funeral sat table cried,
disgust,heard disaster bophal india,
shame,public ladies room opened door cubicle taken although locked,
guilt,playground playing seesaw little niece wanted stop nobody came help got alone seesaw fell big smash niece got hurt eye scar,
joy,passing final examinations social worker,
fear,sleeping alone tent hearing several noises rustling etc afraid people good,
anger,man kept seat taken putting coat chair still empty asked could use chair didnt agree chair coat,
sadness,relationship girlfriend broke,
disgust,piece work marked bad teachers fellow students didnt agree vague criticism felt taken teachers felt disgust,
shame,weeks ago experienced day everything went wrong broke several things felt ashamed sloven,
guilt,made appointment girl go movies actually mind arrived cinema full house went back went movie alone,
joy,friend came tell father invited go holiday benidorm otherwise could afford go holiday,
fear,age years always take care little brother sister never could sleep always imagined creepy men sneaking house,
anger,landlord selected new lodger used done made angry,
sadness,complex situation concerning relationship boyfriend broken relationship reasons meanwhile felt sorrow,
shame,saw terrible accident happen laughed lot fright nervous,
guilt,mother wants talk often life dislike always talks negatively people whatever doesnt help,
joy,moment heard result examination proved succeeded second year study,
fear,fobic anxiety elevators anxiety worst moment doors open often elevator university,
anger,someone accuses without reason willing listen,
sadness,boyfriend decided make end relationship,
disgust,person know tells lies pretending better,
shame,auditorium people ask silly question everyone starts laugh,
guilt,moved nijmegen study soon mother admitted hospital cardiac compliants knew moving important reason,
joy,cant give one description often feel joyful done things good relation people especially friend says loves also tell love,
fear,afraid first boyfriend threatened make end relationship didnt love enough loved much,
anger,good friend deceived little quarrel relationship finished mainly honest angry,
sadness,sad first boyfriend finished relationship,
disgust,raped one year ago man lot older met maybe wasnt rape man wanted wanted give since people vicinity,
shame,felt shame didnt study enough exams result failed invented idle stories talk good others,
guilt,felt guilty went another boy made love close boyfriend,
joy,boyfriend came back away days,
fear,sitting car next man masturbating,
anger,mother told things sister told mother confindence,
sadness,tonight bed realised bad relationship friend,
disgust,eindhoven exhibition hernan nitsche made paintings real blood also photographs killing cows,
shame,made end relationship three years,
guilt,didnt want friend leave holiday days thought would miss constantly trying persuade,
joy,making music together friend sounded good satisfied,
fear,cat ran car came home wounded could hardly walk didnt dare go veterinarian afraid would kill,
anger,unscrew something car didnt succeed two afternoons trying feeling anger built,
sadness,losing girlfriend made end relationship lost important source support certainty joyful moments cried intensly happened,
disgust,days ago saw two dandy girls age disliked clothes way,
shame,carnaval danced minutes normally dont dance rigid moving around dance stopped soon,
guilt,girlfriend used call regularly didnt phone certain moment felt little tension became worse,
joy,important moment volleyball game made point set much stronger competitor,
fear,went dog forest late night camping,
anger,appointment someone certain time person didnt appear,
fear,entered operation theatre underwent difficult operation,
anger,friends left without waiting arranged go together,
sadness,gave away dog people without knowledge,
disgust,eat scraps dustbin bet,
shame,airport eighty beer cans carrying bag spread around going metal detector,
guilt,took car mine suddenly stopped working,
joy,real madrid team basket ball qualified final europe cup athens,
fear,scenic railway fairground,
anger,argument stranger street,
disgust,entered toilet bar stank,
joy,day finished military service,
fear,child one day going home late night notice uncovered man hole fell several minutes,
anger,one day child grandmother shut room,
sadness,day left first girlfriend,
disgust,one day countryside several friends began eat figs full noticed figs full worms,
shame,got fingers stuck one side holes door tube,
guilt,ran dog bicycle carrying tied handle bar,
joy,first prize cross country race,
fear,found involved fight person died intervene risk,
anger,argument among friends opinions way spend spare time disapproved,
sadness,forced leave unforgettable friend,
disgust,saw gare prison gare building deplorable condition full rubbish,
shame,mishap suffered misinterpreting girls proposition,
guilt,thought could avoided situation one fear concentrated work hate,
joy,passed last exam doudts,
fear,tooth pulled upset ill,
anger,real madrid football team lost inter uefa cup,
sadness,dog died reared nearly three years ill several days eaten anything one morning found dead,
disgust,trip santander child sitting beside fell ill started vomit seeing made feel bad,
shame,fell bus braked suddenly everybody started looking,
guilt,finished test type exam dare answer question doubted whether would pass exam,
joy,back home long time meeting beloved people close friends,
disgust,heard treatment friend jail really inhuman never realised things also happen netherlands,
shame,remember situation felt ashamed eating people little boy took care warned often knock glass mild took chair knocked glass,
guilt,mother always took side brought quarrels father knew didnt like felt sorry,
joy,holiday greece called best friend told passed examinations admitted study speech therapy,
fear,together little brother biked lonely road polder annoyed boy motorbike took stopped took etc saw something hand turned came across man accompanied us,
anger,lived persons loft house often occurred persons climbed stairs much noise studying couldnt concentrate got angry,
sadness,partly colored hair black mother didnt like reproached subversive element later stated due friends see resulted colouring hair,
disgust,shopping utrecht friends also ate chips snacks snackbar saw shabby fellow took cold half eaten croquette snack rubbish bin eat,
shame,subscribed test informed secretary test took place went thought course went back felt ashamed secretary see,
guilt,friend place busy wanted go bumped person dropped glass beer offered new one didnt accept,
joy,appeared gave correct answers questions examination personality thought performed badly even dont know managed,
fear,father angry locked shower father knocked fist door scared death,
anger,sister borrowed lp records party left car curatao due heat crooked couldnt play,
sadness,grandmother died life heavy last hours terrible,
disgust,watched tv saw performance prince popidol disgusting hed better stallion,
shame,arranged beach party people father got drunk felt ashamed,
guilt,flew mother made rude remarks felt tense studied hard examination,
joy,unofficially informed results final examination secondary school teacher wrote went outside started crying joy,
fear,thinking death eternal unknown sense often laying bed dark quiet fear makes feel dizzy,
anger,force eat something dont like example parents always twaddle whine dont eat food,
sadness,leave den helder friends acquaintences spend two weeks friends,
disgust,view meatfactory pigs cut open pigs suspended nods blood everywhere decompsition,
shame,suffered terrible fit eating frequently occurs eat everything act like glutton eat big amounts food sometimes even half loaf,
guilt,father physically handicapped asks something raise several objections often fix moments,
joy,parents girlfriend gave permission spend holiday together,
fear,relationship first girlfriend broke realized late,
anger,someone always took care key sportshall stayed away without letting us know next time nothing happened,
sadness,last relation broke,
disgust,working chemical laundry saw rats maggots washing,
shame,forgot birthday best friend innocently came visit one week later,
guilt,made love girl dont really love however know loves,
joy,passed driving test second try,
fear,walking wood night boyfriend romantic suddenly heard car driving slowly lights looked looking something,
anger,teacher arts crafts boys years obligatory dislike tease one cut material flared,
sadness,sister coma months due train accident brainfunctions disturbed never able walk hardly talk,
disgust,lived together boyfriend one night stayed away next day told chat another girl,
shame,talk much keep things secret promised friend tell something anybody neverthless got informed felt ashamed,
guilt,parents appreciate much boyfriend coming dinner christmas however decided visit parents mother rather disappointed,
joy,started relation girl fallen love already time ago,
fear,sitting cinema became anxious watching cold film know reason,
anger,work journal layout came nothing due thoughtlessness colleagues,
sadness,mother stuck apoplectic fit hemiparalyzed suffered aphasia,
disgust,time confronted reports repression torture,
shame,wrote letter father ventilate bottled feelings afterwards thought negative,
guilt,chatted girl didnt love however fallen love felt responsible sorrow,
joy,felt happy heard passed examination move second year course,
fear,holiday france made walk woods alone relaxed motorbike took saw man watching time suddenly man stood behing ran away fast,
anger,invited two friends go together two girls kept talking boys chatting etc bacame sick,
sadness,felt sad boyfriend wanted break relationship relationship lasted two years shared everything finished,
disgust,broke egg something wrong little cup thick white wad tried take throw sink,
shame,years old stained bench fountainpen tried twin cushions colour nuances mother catched saw became angry,
guilt,spend night boyfriend also friend lay floor sleep boyfriend fallen asleep boy started petting minutes felt miserable awoke boyfriend tell,
joy,liked see aunt zaire airport appeared impossible go school long time wasnt sure could accompany two days departure told allowed miss school,
fear,went ballet lessons little friend dark quiet place boy approached us behind asked time lesson would finished gave avoiding answer took wanted run away,
anger,sleeping nicely middle night became awake friend called opinion nonsens reason,
sadness,boyfriend longlasting relationship fell love another girl asked something implied loved girl loved,
disgust,school fancy fair stand amnesty international read first time description tortures woman,
shame,friend catched masturbating fully sure whether saw,
guilt,years old mother gave parts chocolate bar ordered bring father working outside way could resist temptation ate,
joy,undergo final examination secondary school lived together girlfriend afraid fail appeard passed,
fear,left home father false pretences got car drove home alone seethed rage withrew authority hit kicked threatened,
anger,father took away cherised diaries burn also sad oh hated,
sadness,felt sad left home could stand longer regret missed little sister much missed feelings wear time,
disgust,friend girlfriend went rome days class back home heard people tell strange stories friend girlfriend,
shame,mother found leaf diary written mothers lack education especially poor arithmetical insight,
guilt,often take care little sister oversee duties time everything went fine sometimes absolutely didnt want obey hit frequently hit father,
joy,passing drivers examination two failures,
fear,six years old holiday france heavy weather,
anger,quarrel mother thought said unreasonable things hit strongly,
sadness,disease subsequent death close acquaintance sadness accompanied feelings powerlessness also experienced sadness situation described guilt,
disgust,take look slaughterhouse listening stories torturing people animals,
shame,making bloopers eg telling something negative certain person person standing besides hears everything,
guilt,wanted finish relationship months unfortunately friend different opinion could answer feelings made unhappy feel guilty,
joy,friend mine period thinking pregnant,
fear,fear come live nijmegen,
anger,coach team degraded second team,
sadness,friend died,
disgust,saw documentary film world war ii hitler adepts,
shame,embarrassed friend asking aloud certain person source gossip told person also present,
guilt,realised rejected boy fallen love rather bluntly four times,
joy,spending nitht close friends away nijmegen,
fear,started study move afraid left alone could manage,
anger,anybody wants make feel guilty example something mother things didnt go hoped threatens ill,
sadness,close friend took leave went israel one year,
disgust,wanted take something bed felt dead bird laying bed,
shame,stayed home period felt depressive neglected study people adked told freeterm studied hard felt ashamed behavior lies,
guilt,quarrel mother matters inflated enormously,
joy,fellow player quite unexpectedly scores goal means draw,
fear,college started discussion teacher referring question posed felt unsure afraid fail,
anger,playing indoorhockey always older man frequently intentionally plays ball field opinion childish play fun,
sadness,together family one night days father died conversation expressed displeasure nobody understands,
disgust,salo movie film pasolini people misused tortured fun elder italian authorities world war ii,
shame,jerking bedroom suddenly mother came looked immediately left room,
guilt,girlfriend agreed go cinema however completely forgot appointment remembered two hours late went visit,
joy,boyfriend told loved period felt depressive,
fear,walking alone street late night quiet man approached said hello,
anger,late night discovered stolen bike,
sadness,friend free drugs half year started using,
disgust,disco dirty little chap punched bottom,
anger,friend comes visiting unexpectedly asks coffee refuse give,
sadness,watching football game remindes time father still alive watched football games tv together,
disgust,seeing someone bleeding nose,
shame,asking someone give back money lend needed,
guilt,tell someone words refuse something although could helped,
joy,got good grade exam statistics,
fear,one night three oclock followed cardriver tried molest,
anger,father promised bicycle birthday birthday forgot promised,
sadness,younger brother good friend mine died asthma,
disgust,read book torture book described exactly torturing done,
shame,made joke rat boy compared rat sausage told boy delicious sausage,
guilt,courtship three months made end boy sad,
joy,pleasant conversation one friends,
fear,dream fiancte leaving making end relation,
anger,bicycle demolished,
sadness,funeral grandmother saw mother family members crying,
disgust,fellow student seemed nice later proved slimy fellow towards professor,
shame,father angry another man presence friends,
guilt,drank much alcohol became ill presence friends,
joy,week phoned old friend lost contact years ago,
fear,raped friend,
anger,last year friend visiting several days thing sleeping drinking taking pills thinking,
anger,girlfriend practice therefore leaves alone night weekend addition busy several things dont see often,
sadness,father suddenly fell ill stayed months hospital last month intensive care academic hospital died,
disgust,bisshop ter schure intoduced tv dutch nation spoke god didnt discuss way achieved position,
shame,failed driving test,
guilt,see mother forces little brother years work hard school dont agree constantly puts work dont tell nothing changes,
joy,thought someone angry hindsight didnt appear case even liked,
fear,late night biking home overtook man said hello darling terrified imagined wildest scenes,
anger,parents thought didnt best pass final examination secondary school achieved good grade said nothing bad grade would become angry,
sadness,caused much pain sorrow boyfriend finishing relationship,
disgust,read think environmental pollution armor race starvation etc one realizes mankind bad important power money cost nature mankind,
shame,imitated teacher behind back walking silly,
guilt,told someone still relationship boy although finished already months person seriously discussed several things relating issue felt miserable told lies,
joy,meeting conversation woman somewhat elder considers child also one child last two years lived relationship,
fear,child suffered nightmares even since never anxious fearful,
anger,talking sister often ventilates prejudices father also adheres,
sadness,hopeless situation dirty place study work loneliness,
disgust,difficult relate certain event familiar disgust sartre la nauste frequently occurring cause may described selfassured dullness,
shame,recently left bag car someone picked hitchhiking spent effort find lived succeeded,
guilt,biarritz south france met english students especially went paris gave food didnt money,
joy,passed driving test already first try although felt uncertain day came near,
fear,father suffered dizziness hospitalized physician didnt know wrong stools black thought could cancer,
anger,arranged holiday paris girlfriend raised criticisms time,
sadness,suddenly appeared dog dangerously ill probably would die expected always healthy fortunately survived turn gave medicines night,
disgust,girl class secondary school appeased teacher resulting getting higher grade occurred often,
shame,arrived late meeting mentor night introduction novices university start,
guilt,father told help mother often busy realized right,
joy,passing examination although felt sure failed,
fear,lived studenthouse shared lavatory shower fellow student shower cubicle formed connection appartments neighbour often drunk aggressive one night afraid would enter room,
anger,suffer disease muscles therefore able attend lectures half day sometimes miss obligatory lectures however teachers take account disease punish detention work resulting overload,
sadness,suffer form disease muscles however talk feelings consequence parents try repress,
disgust,grandfather lives home elderly always looks forward visits birthday coincidence mummys day however nobody went see family important grandfather,
shame,going dinner one icecream four spoons,
guilt,borrowed piece music someone always forgot give back person wrote letter asking give back told idle story kept long,
fear,armed robbers broke house night,
anger,pickpocket robbed money k buying bathing soap,
sadness,failed grade seven examination,
disgust,friend drunk insulted public reason,
shame,tried steal book bookshop caught,
guilt,caught another mans wife taken opportuinty man abroad returned night,
joy,day learnt admitted university,
fear,gone boxing tournament ended oclock morning alone way back could hear barking dogs nocturnal animals sound footsteps rumour circulating ghosts area,
anger,sadist provoked sister presence tried force sister accompanying place sister agree kicked fell fight,
sadness,father passed away left alone mother sick go live aunt short tempered till mother discharged hospital,
disgust,learnt best friend failed exams,
guilt,broke friends badminton racket kept quiet,
joy,boy admitted medicine school uncle coming back fron canada next week father told happy moment,
fear,form five boarding school friends gone drinknig beer nearby village caught red handed form master,
anger,mother quarrelled aunt,
sadness,elder brother expelled college frustated attempted suicide drank bottle fragments sad learnt,
disgust,found accidentaly uncle away canada aunt bedding young man regular basis,
shame,school holiday found necking girl room father,
guilt,grade seven class planning protest rude immoral teacher sneaked told headmaster plan foiled,
joy,first prize science fair first kind school form ii,
fear,close relative mine died serious car accident one first two people see corpse going see afraid first time seeing corpse,
anger,younger brother destroyed gave away books intended keep long possible,
sadness,close relative mine passed away first time someone close died,
disgust,person thought honest took spend little money way getting money following months,
shame,watching religious film got excited made number comments reproached elderly person respected,
guilt,beat female friend heard defamatory stories telling later called explain behaviour,
joy,st birthday celebration cut cake received presents,
fear,one final exams third year natural sciences,
anger,seniors tried scold insult juniors account juniors supposed said secondary school,
sadness,uncle mine close passed away stroke first daughter could named,
disgust,sisters boyfriend accused sleeping around,
shame,could hold bladder making telephone call ended wetting,
guilt,made feel responsible emotional state friend mine,
sadness,fianct left best friend,
disgust,people discriminate people disgust,
shame,new years eve drank much alcohol much vomit presence people,
guilt,cut loose father years ago know sad,
joy,recurrent lovesickness,
fear,sexually assaulted one night stranger,
anger,meddlesomeness mother way live thinks free behavior instance boyfriend stays night,
sadness,dying close member family,
disgust,seeing maltreated dead animals,
shame,much older man took advantage childhood four eight years age,
guilt,friend needed help much moment made end relationship,
joy,passed important exam,
fear,man rang doorbell wanted enter house violence alone home moment,
anger,friend came visit late one night promised stay quarter hour stayed hours didnt leave angry,
sadness,terminate training wasnt suited sad much wanted finish training,
disgust,birthday party friend drank much alcohol much throw worst couldnt leave friend alone molesting,
shame,tried swindle jeweller watch broken wanted repaired pity detected,
guilt,someone lot efforts make something work help would finished much sooner wasnt mood help,
joy,went visit friends companionable,
fear,wanted get contact girl loved afraid would refuse,
anger,military service superior reproached unjustly led friction lot situations,
sadness,disappointed love girl made end relationship thought love,
disgust,military service heard story someone tried commit suicide result got week custody,
shame,thought clumsy made love first time girl,
guilt,friend mine bicycleaccident pulled handlebar,
joy,sitting alone quiet room concentrating things happening around pleases,
fear,sitting alone quiet room concetrating things happening around thoughts come mind make afraid,
anger,teacher tells story isnt true reflects way interpreting reality,
sadness,high expectations future pursue subject manner attain,
disgust,heard broadcasting programme parapsychology people programme used difficult words couldnt understand acted exaggerated without showing feeling,
shame,girl asked didnt dance told ashamed dance felt ashamed tell,
guilt,saved money good purpose also organise party afraid rest little money good purpose feel guilty,
joy,sister brother law returned sri lanka adopted child went pick airport,
fear,football game made offence towards acquaintance later acquaintance also tackeled game became rude,
anger,work petrol station foreigner wants petrol collegues treat impolite,
sadness,uncle mine retired worked hard life got cerebral hemorrhage,
disgust,student lives house live alcoholic tries manipulate people money drunk much,
shame,went disco friend started behaving badly embarrassing without reason,
guilt,talked another student notes got last semester knowing got lot bad grades,
joy,got drivers licence,
fear,stayed alone house great brittain lot rumour newspaper murderer still free,
anger,stories way grandmother treated mother,
sadness,mother proved suffer serious disease,
disgust,stories aunt beaten humiliated uncle,
shame,omitted favor friend much need help,
guilt,little accident bosscar,
joy,every year carnival joyful intense feeling happiness,
fear,event remember nightmare young years old dreamt machine going crush,
anger,usually angry happens often instace want pet without falling love soon proves fallen love,
sadness,losing boyfriend second time friend fell love thing happened months earlier another boyfriend,
disgust,person disgust evrey time see get terrible feeling disgust whole appearance,
shame,angry someone without good reason later proves didnt anything wrong,
guilt,mother always evokes feelings guilt instance miss last bus know concerned stay awake till arrive,
joy,came contact girl liked much important also liked,
anger,hard day university also make dinner evening failed frying pan broke,
sadness,father cerebral hemorrhage,
disgust,story heard recently baby dying sexual abuse,
shame,party overheard conversation china wanted give opinion one people came chinese opinion right course,
guilt,didnt bring girlfriend home one night later told cardriver solicited,
joy,old schoolfriend phoned arrange appointment talk old memories hadnt seen years,
fear,standing crowed shop closed room much people gives fearful experience,
anger,older brother gives unwanted advices problems relationship girlfriend,
sadness,girlfriend left house lived together months ago made sad,
disgust,parents behave witty towards make insipid jokes laugh mother treats like little child,
shame,making unexpected talk professor canteen made shy,
guilt,flirting girls already good relationship problems relationship flirting increases feeling guilt,
joy,occurs frequently recent experience going many friends nice music examinations felt happy could embraced everybody,
fear,lived alone repulsive area city rotterdam annoyed heard lot burglary assaults especially evening night frequently felt anxious,
anger,treated unfairly hurt someone love,
sadness,finished relation four years leading much sorrow one although best solution,
disgust,every time meet certain person get well together dislike,
shame,coming trial shop lifting,
guilt,catched stealing,
joy,fell head ears love someone appeared love made happy could hardly sleep eat one week,
fear,one night bike home alone party found pursued man car,
anger,quarrel father opinion decided authoritarian way tv program watch became angry started throwing things room,
sadness,boyfriend finished relationship started studying psychology nijegen would able meet frequently anymore,
disgust,friend quarrel mother boyfriend friend decided go live together needed money removal made great effort reconcile,
shame,catched little girl played tricks startled wet pants,
guilt,opinion pm early back home going stayed away longer knowing mother would worried,
joy,called invited talk job wanted,
fear,late night around midnight person asked give lift suddenly tried attack could escape followed little,
anger,lot irritation person lives house live suddenly became much accused several things,
sadness,end relationship years hurt person much,
disgust,saw terrible accident driver motor thrown frontwindow car face completely away,
shame,troubled hair growing neck troubled long time much ashamed someone brought hisher hands close face,
guilt,without approval parents went days boyfriend germany,
joy,friend came unexpected visit,
fear,thought house fire night,
anger,official meeting asked question person response directed chairman,
sadness,mother good friend mine died,
disgust,teacher blunt relation child child upset arriving home,
shame,angry someone,
guilt,didnt take time make appointment someone,
joy,saw family good friends back staying one year foreign country,
fear,good friend mine behaved cool manner long time,
anger,library medical psychology walked wrong direction man came room threated denigrating became angry resisting manner,
sadness,good friend mine died funeral felt intense feeling sadness,
disgust,uncle mine ill started cough wich sounded dirty cant help course,
shame,christmas night good movie television wanted see years whining till someone told childish felt shame,
guilt,good friend mine moment foreign country didnt write several months feel guilty,
joy,go friend enough money good sense favorite dancing,
fear,going threatened regularly two punkgirls,
anger,friend started shout called old frump,
sadness,relationship boyfriend finished didnt succeed yearscourse,
disgust,father someone disgust comes close feeling disgust overwhelms stay weekend parents place remember long time,
shame,party made love boy public later heard others talking called slut,
guilt,got associated boy one year ago neglected best friend relation boy finished behaved easygoing towards felt guilty,
joy,made winning goal important football game,
fear,terrible cloudburst started camping tent great bald field,
anger,seeing first time pictures called treatment jewish people nazigermany world war ii,
sadness,death motherinlaw long sickbed moment dying,
disgust,looking oneman show television told disgusting things started disgusted later proved intention,
shame,drinking glass wine eating something suddenly appeared pictures famine parts africa,
guilt,dont go parents sunday phone tell study truth listened sports radio,
joy,appeared pregnant several weeks overtime,
fear,situation sadness afraid parents would distroy relationship,
anger,parents distroyed relationship,
sadness,feeling parents distroyed relationship boy thought bad irresponsible,
disgust,accident described shame came saw terrible everything looked like disgusted everything saw,
sadness,sudden end relationship first girlfriend,
disgust,heard part conversation one talked low women,
shame,important situation father behaved inadequately,
guilt,took car someone without saying,
joy,felt joy heard accepted free university driebergen,
fear,good friend told one evening didnt want live anymore,
anger,felt anger end telephone call good friend told would go travel next year another good friend couldnt talk,
sadness,sad leave persons intense relationship also leave environment part,
disgust,felt disgust watching picture television torturing political prisoners india happened india indira ghandi,
shame,made insulting remark person care much event caused third person didnt like person insulted,
guilt,felt guilt towards mother went live rooms nijmegen study,
joy,boyfriend went dinner subsequently went family nice evening,
fear,walk streets late night friends attacked one night without reason,
anger,got feeling housekeeping boyfriend didnt anything happened period exams study hard,
sadness,best friend got boyfriend relationship ten years finished abruptely,
disgust,feel disgust hearing seeing people treated inhumanely example torturing chili,
shame,opinion guilt feeling goes together shame refer situation guilt,
guilt,became angry boyfriend without reason know bear angry cant study anymore,
joy,day heard passed high school exam,
fear,living rooms lonely quiet neigbourhood night silent frightened fact alone house frightened,
anger,move different city company father worked also moved place difficult make new friends,
sadness,close friend mine died read newspaper didnt know thought whole day,
disgust,girl also hires room house live always tries make quarrel everyone available disgusts,
shame,teacher spent lot time helping without wanting paid exam didnt got good grade felt ashamed,
